model,face_index,radius_mm,loc_x_mm,loc_y_mm,loc_z_mm,axis_x,axis_y,axis_z,axis_label,axis_error_to_y_deg,duplicate_count
official_upper_arm_step,1,1.2,47.9785060256137,10.8613385069981,-35.7713106032087,0.002981088393792109,-0.6971587292361779,0.7169106076504839,oblique,45.80050937990219,1
official_upper_arm_step,320,0.8,39.4905448489719,8.02776048637671,-34.5895607589498,0.00302359915884472,-0.707100316679413,0.707106781186548,oblique,45.00052380671807,1
official_upper_arm_step,321,0.8,48.3840433229553,9.56723876182537,-36.0909962278675,0.00302359915884456,-0.707100316679413,0.707106781186548,oblique,45.00052380671807,1
upper_arm_v1_step,5,18.0,0.0,17.0,-3.774758283726e-15,-0.0,1.0,-2.22044604925e-16,Y,0.0,2
upper_arm_v1_step,129,16.5,116.0,17.0,-3.774758283726e-15,-0.0,1.0,-2.22044604925e-16,Y,0.0,1
upper_arm_v1_step,124,6.0,38.0,3.4,-7.549516567451e-16,-0.0,1.0,-2.22044604925e-16,Y,0.0,1
upper_arm_v1_step,86,6.0,58.0,3.4,-7.549516567451e-16,-0.0,1.0,-2.22044604925e-16,Y,0.0,2
upper_arm_v1_step,125,6.0,78.0,3.4,-7.549516567451e-16,-0.0,1.0,-2.22044604925e-16,Y,0.0,1
upper_arm_v1_step,42,4.2,0.0,18.0,-3.996802888651e-15,-0.0,1.0,-2.22044604925e-16,Y,0.0,2
upper_arm_v1_step,152,4.2,116.0,18.0,-3.996802888651e-15,-0.0,1.0,-2.22044604925e-16,Y,0.0,1
